play_time,enemies_killed,damage_taken,balls_collected,score
106,6,6,13,922
56,10,13,13,747
111,20,10,11,1219
29,3,10,5,321
89,22,6,10,1133
116,23,39,8,1216
82,21,22,14,1150
25,8,32,7,422
44,9,26,3,468
73,6,27,15,771
102,11,7,13,1017
93,6,29,3,659
62,23,44,16,1104
71,21,17,13,1058
30,24,19,14,942
35,10,11,8,559
83,23,28,4,996
70,9,22,13,810
112,23,9,11,1299
46,20,20,4,757
73,11,45,13,829
53,24,25,15,1082
32,10,7,14,659
76,11,9,5,756
97,13,18,12,1006
75,23,34,4,946
42,10,40,10,595
120,21,32,16,1355
76,14,19,4,779
88,5,8,15,839
44,23,15,14,1006
79,22,9,8,1050
101,17,38,6,984
26,24,12,12,913
93,11,26,3,764
80,8,34,2,627
117,11,37,14,1065
89,6,45,6,682
106,19,43,5,1016
72,8,39,14,796
92,3,43,7,641
27,6,28,16,573
64,10,8,5,674
97,5,10,13,857
33,20,13,4,708
85,20,15,6,996
102,16,18,16,1171
118,9,24,8,950
108,14,33,16,1138
82,6,20,5,635
